,German Words,English
0,und,and
2,er,he
4,der,the (masculine)
5,zu,"too, to"
8,die,the (feminine)
12,ich,i
14,in,"in, into"
15,nicht,not
17,den,the
18,war,was
19,das,"that, this"
20,siddhartha,
21,es,it
23,du,"you (familiar, singular)"
24,ein,"one, a"
28,von,"from, of"
30,sich,"self, himself, herself, themselves, etc."
31,sie,"she, they"
36,ihm,him
37,mit,with
39,ist,is
40,ihn,him
41,wie,how
45,hatte,had
46,so,"so, as"
50,sein,to be
53,dem,that
54,daß,that
55,aber,but
57,auch,also
60,im,in the
61,des,of the
62,als,"than, as, when"
64,an,on a vertical surface
65,auf,"up, on a horizontal surface"
68,seine,his
69,govinda,
70,um,around
71,noch,"still, as yet"
75,mir,me
76,eine,one
77,aus,out
81,sah,saw (past tense of see)
82,habe,have
83,mehr,more
85,dies,this (uninflected form)
87,da,"1. there, then; 2. as, since"
89,einen,one
90,alles,everything
91,dir,to you
92,was,what
94,sprach,spoke
95,wenn,"when, if"
98,nach,"after, to"
101,hast,have
102,vor,in front of; for
105,leben,the life
108,wieder,again
110,lehre,the apprenticeship
111,mich,me
112,nun,now
113,kamala,
114,bei,at
117,immer,always
119,sagte,said
121,am,"at the, on the"
122,fluß,river
123,denn,because (coordinating conjunction)
124,seinen,his
125,seinem,his
126,hat,has
127,dieser,"this (masc, fem, neut)"
128,diese,these
129,ihr,"her; you (plural, fam.); their"
131,nichts,the nothingness; the void; the nonentity (no plural)
134,oder,or
136,einem,"one, a"
137,über,over
140,einer,"one, a"
141,doch,(emphatic marker)
142,nur,only
145,lange,long
146,schon,already
147,seiner,his
148,welt,the world
149,bin,am
150,alle,"all, everybody"
152,mein,my
153,gesicht,the face
154,selbst,self
156,kann,can
157,o,
158,samana,
159,vasudeva,
160,durch,through
163,menschen,human beings (plural only)
164,liebe,the love (no plural)
166,freund,"the male friend, the boyfriend"
167,sei,of
168,gewesen,been
